Symbol,Name,Last_Sale,Net_Change,Percent_Change,Market_Cap,Volume,Sector,Industry
AAPL,Apple Inc. Common Stock,$227.79 ,0.27,0.12%,3.46335E+12,33993269,Technology,Computer Manufacturing
MSFT,Microsoft Corporation Common Stock,$428.02 ,-3.29,-0.76%,3.18149E+12,14888575,Technology,Computer Software: Prepackaged Software
NVDA,NVIDIA Corporation Common Stock,$121.40 ,-2.64,-2.13%,2.97794E+12,270148563,Technology,Semiconductors
GOOG,Alphabet Inc. Class C Capital Stock,$165.29 ,1.46,0.89%,2.03472E+12,13592915,Technology,Computer Software: Programming Data Processing
GOOGL,Alphabet Inc. Class A Common Stock,$163.95 ,1.22,0.75%,2.01822E+12,21094220,Technology,Computer Software: Programming Data Processing
AMZN,Amazon.com Inc. Common Stock,$187.97 ,-3.19,-1.67%,1.97285E+12,35964848,Consumer Discretionary,Catalog/Specialty Distribution
META,Meta Platforms Inc. Class A Common Stock,$567.36 ,-0.48,-0.09%,1.43532E+12,9393361,Technology,Computer Software: Programming Data Processing
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,$177.97 ,-8.86,-4.74%,9.23026E+11,17881464,Technology,Semiconductors
LLY,Eli Lilly and Company Common Stock,$877.79 ,-31.53,-3.47%,8.34274E+11,4374055,Health Care,Biotechnology: Pharmaceutical Preparations
TSLA,Tesla Inc. Common Stock,$260.46 ,6.24,2.46%,8.32076E+11,70727635,Consumer Discretionary,Auto Manufacturing
AVGO,Broadcom Inc. Common Stock,$172.69 ,-5.4,-3.03%,8.06562E+11,20570199,Technology,Semiconductors
WMT,Walmart Inc. Common Stock,$79.78 ,-0.14,-0.18%,6.41292E+11,11891258,Consumer Discretionary,Department/Specialty Retail Stores
JPM,JP Morgan Chase & Co. Common Stock,$210.50 ,0.72,0.34%,5.98907E+11,7031847,Finance,Major Banks
NVO,Novo Nordisk A/S Common Stock,$120.76 ,-3.54,-2.85%,5.38859E+11,9653603,Health Care,Biotechnology: Pharmaceutical Preparations
UNH,UnitedHealth Group Incorporated Common Stock (DE),$581.85 ,7.04,1.23%,5.37291E+11,2986231,Health Care,Medical Specialities
XOM,Exxon Mobil Corporation Common Stock,$115.82 ,3.02,2.68%,5.14568E+11,15961919,Energy,Integrated oil Companies
V,Visa Inc.,$275.17 ,3.48,1.28%,5.01444E+11,6508461,Consumer Discretionary,Business Services
ORCL,Oracle Corporation Common Stock,$168.74 ,0.64,0.38%,4.67573E+11,8971718,Technology,Computer Software: Prepackaged Software
MA,Mastercard Incorporated Common Stock,$493.64 ,2.37,0.48%,4.56042E+11,2177212,Consumer Discretionary,Business Services
PG,Procter & Gamble Company (The) Common Stock,$173.55 ,0.34,0.20%,4.08546E+11,4599462,Consumer Discretionary,Package Goods/Cosmetics
HD,Home Depot Inc. (The) Common Stock,$399.53 ,2.83,0.71%,3.96851E+11,2451548,Consumer Discretionary,RETAIL: Building Materials
COST,Costco Wholesale Corporation Common Stock,$885.62 ,-15.82,-1.76%,3.92626E+11,3457826,Consumer Discretionary,Department/Specialty Retail Stores
JNJ,Johnson & Johnson Common Stock,$161.40 ,0.01,0.01%,3.88529E+11,7553756,Health Care,Biotechnology: Pharmaceutical Preparations
ABBV,AbbVie Inc. Common Stock,$194.79 ,2.89,1.51%,3.44066E+11,4891756,Health Care,Biotechnology: Pharmaceutical Preparations
ASML,ASML Holding N.V. New York Registry Shares,$841.54 ,-10.9,-1.28%,3.3108E+11,1038066,Technology,Industrial Machinery/Components
